时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-23T07:28:53.707Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0845,0.9360,0.4121,2.87,6.41,1.77,68.56,-4.12,-26.35
"2025-05-23T07:28:53.708Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.0474,-0.1929,1.0376,-14.28,-1.16,11.66,-6.48,2.71,55.25
"2025-05-23T07:28:53.709Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.1045,-0.1338,0.8726,36.44,-17.88,23.01,-1.53,0.28,-101.26
"2025-05-23T07:28:53.709Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9326,-0.2554,0.2759,-0.18,2.14,1.10,-40.11,69.51,-136.37
"2025-05-23T07:28:53.710Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0249,0.9312,0.4502,0.79,2.38,-0.24,68.68,-3.99,-26.09
"2025-05-23T07:28:53.711Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.0903,-0.0083,1.0220,4.70,-1.95,8.42,-0.06,-0.32,-100.74
"2025-05-23T07:28:53.712Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2383,0.6255,0.7402,-0.73,1.46,0.24,40.39,13.39,132.04
"2025-05-23T07:28:53.713Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2749,0.9546,0.1670,9.22,1.53,-1.59,81.19,18.15,-39.77
"2025-05-23T07:28:53.714Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9492,-0.2007,0.2563,-2.26,4.94,-0.06,-40.46,69.73,-136.80
"2025-05-23T07:28:53.714Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.0723,-0.1313,0.9946,2.81,-4.03,2.20,-6.59,2.61,55.31
"2025-05-23T07:28:53.720Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2715,0.9541,0.1519,10.19,8.00,-2.50,81.78,18.34,-39.44
"2025-05-23T07:28:53.721Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9463,-0.2368,0.2510,-0.18,-0.98,0.31,-40.70,69.76,-136.99
"2025-05-23T07:28:53.722Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0923,0.8955,0.2754,8.85,1.10,0.00,68.85,-3.96,-25.98
"2025-05-23T07:28:53.723Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.0830,-0.1055,1.0044,1.28,-6.10,1.83,-6.53,2.39,55.46
"2025-05-23T07:28:53.726Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2407,0.6216,0.7388,-1.34,1.40,-0.61,40.33,13.44,132.09
"2025-05-23T07:28:53.728Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.3438,0.9282,0.1846,15.20,1.89,-2.20,82.47,18.47,-39.14
"2025-05-23T07:28:53.736Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.0537,-0.0137,1.0693,5.92,-0.43,2.20,0.23,-0.37,-100.51
"2025-05-23T07:28:53.741Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9302,-0.2407,0.2813,0.37,-2.08,2.01,-40.34,69.75,-136.64
"2025-05-23T07:28:53.745Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0806,0.9434,0.3438,14.83,1.46,-2.32,69.48,-3.89,-25.92
"2025-05-23T07:28:53.761Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.0278,-0.0190,1.0342,4.58,0.06,3.23,0.46,-0.41,-100.31
"2025-05-23T07:28:53.765Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.1899,0.6709,0.7314,-0.31,0.73,-7.20,40.26,13.62,131.90
"2025-05-23T07:28:53.787Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0425,0.9282,0.3911,16.36,0.37,-3.17,70.26,-3.78,-26.00
"2025-05-23T07:28:53.791Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.1260,-0.1479,1.0273,0.98,-6.35,-8.12,-6.49,2.03,55.30
"2025-05-23T07:28:53.806Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.0562,0.0498,1.0176,3.48,3.42,1.46,0.66,-0.34,-100.30
"2025-05-23T07:28:53.895Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2178,0.6284,0.7227,-4.15,7.20,-10.13,40.09,14.08,131.69
"2025-05-23T07:28:53.896Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2827,0.9800,0.2266,13.06,3.42,-1.71,83.29,18.54,-39.12
"2025-05-23T07:28:53.898Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0635,0.9502,0.4302,21.67,-3.66,-1.16,71.25,-3.67,-26.23
"2025-05-23T07:28:53.899Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.0957,-0.1230,1.0005,1.40,-10.74,-5.37,-6.45,1.53,55.10
"2025-05-23T07:28:53.900Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9390,-0.2061,0.2646,-1.65,-0.55,1.40,-40.08,69.79,-136.40
"2025-05-23T07:28:53.901Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.0195,-0.0049,1.0327,3.66,7.26,2.81,0.86,-0.03,-100.12
"2025-05-23T07:28:53.901Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2749,0.5972,0.7500,-4.39,6.71,-11.78,39.80,14.72,131.45
"2025-05-23T07:28:53.902Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2837,0.9580,0.1113,15.26,-0.12,-2.44,84.11,18.70,-39.08
"2025-05-23T07:28:53.903Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9331,-0.2344,0.2729,-1.77,3.23,1.46,-40.29,69.87,-136.51
