时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-23T07:32:44.856Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-1.0889,-0.2739,-0.1978,-50.35,63.90,24.48,-60.36,77.04,-149.46
"2025-05-23T07:32:44.857Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0576,0.9238,-0.1445,60.42,37.60,11.11,89.26,-1.35,-51.58
"2025-05-23T07:32:44.858Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3818,0.5591,0.7393,-4.21,19.35,16.91,42.48,22.19,34.19
"2025-05-23T07:32:44.858Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2407,0.1763,1.0391,26.86,78.31,20.69,11.99,10.39,-107.52
"2025-05-23T07:32:44.859Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0459,1.0405,-0.0718,65.12,38.45,11.78,92.40,-1.96,-49.89
"2025-05-23T07:32:44.859Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1841,-0.0981,1.0039,-1.89,-4.21,24.11,-12.97,-7.60,48.75
"2025-05-23T07:32:44.941Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.3926,0.2534,1.0195,27.83,88.32,27.89,13.86,14.30,-105.32
"2025-05-23T07:32:45.056Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3867,0.7031,0.5879,-8.67,24.48,29.36,42.87,22.25,35.58
"2025-05-23T07:32:45.057Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.1880,0.9141,-0.1724,7.81,28.20,-1.59,95.97,11.96,-141.60
"2025-05-23T07:32:45.058Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.0703,-0.3750,0.9673,3.11,-3.54,42.85,-13.18,-7.44,50.32
"2025-05-23T07:32:45.058Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-1.1069,-0.2788,-0.0288,-52.06,74.95,22.16,-77.84,79.52,-164.71
"2025-05-23T07:32:45.059Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0239,0.9912,-0.1753,77.88,33.02,5.43,95.86,-2.49,-48.09
"2025-05-23T07:32:45.060Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.2095,0.1733,1.0630,25.76,85.94,18.37,15.77,18.18,-102.88
"2025-05-23T07:32:45.061Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.3359,0.5991,0.7188,4.82,4.46,-4.39,43.12,22.28,36.97
"2025-05-23T07:32:45.062Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2920,0.9702,-0.0522,1.77,19.90,0.06,96.40,11.96,-140.54
"2025-05-23T07:32:45.062Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-1.1074,-0.2700,0.0068,-52.37,72.75,16.24,-101.18,80.51,174.40
